,absolutely,acne,actually,adovia,affordable,amazing,application,apply,argan,art,average,away,awesome,axe,bad,bar,base,beautiful,beauty,best,better,big,bit,black,blush,body,bottle,bought,brand,brush,brushes,buy,care,cheap,clay,clean,cleans,cleanser,cleansing,clear,coat,color,colors,concealer,conditioner,cool,coverage,cream,creamy,cute,daily,dark,daughter,day,days,dead,deal,decent,deep,definitely,designs,did,didn,difference,different,disappointed,disposable,does,doesn,don,dont,dotting,dove,dry,dryer,drying,easy,effective,exactly,excellent,expected,expensive,eye,eyelashes,eyes,eyeshadow,fabulous,face,facial,fantastic,far,fast,favorite,feel,feeling,feels,finally,fine,flat,foundation,fragrance,free,fresh,frizz,fun,gel,gems,gentle,gets,gives,goes,good,gorgeous,got,greasy,great,hair,hands,happy,hard,heavy,helps,high,home,horrible,hot,hype,impressed,inexpensive,iron,item,job,just,kids,know,lashes,lasting,lasts,leave,leaves,left,light,lightweight,like,liked,line,little,long,look,looking,looks,lot,lotion,lots,love,loved,lovely,loves,make,makes,makeup,mascara,mask,meh,men,mild,mineral,miracle,moisture,moisturizer,moisturizing,money,moroccan,mud,nail,nails,natural,need,needs,new,nice,night,non,nyx,oil,oily,ok,okay,olay,old,opi,palette,pay,perfect,pink,plates,pleasant,pleased,polish,powder,pretty,price,primer,product,products,professional,protection,purchase,pure,quality,quick,quickly,razor,real,really,recommend,red,refreshing,results,review,rhinestones,right,salon,say,says,scalp,scent,scrub,sea,sensitive,serum,set,shadow,shampoo,shany,shave,shine,shiny,silky,simple,simply,size,skin,small,smell,smells,smooth,soap,soft,soothing,spf,spray,stamper,stamping,stars,sticky,straightener,strong,stuff,suave,summer,sun,sunscreen,super,sure,surprised,tape,texture,thing,think,time,toner,tool,tools,treatment,tried,try,use,used,uses,using,value,variety,ve,vitamin,wash,waste,way,wen,white,wife,wipes,wonderful,work,worked,working,works,worth,wow,yes
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,9,19,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,1,0,1,0,0,2,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,2,2,1,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,1,0,1,1,1,0,3,1,2,0,0,0,0,0,1,3,1,1,0,3,1,1,2,0,0,0,2,2,1,1,0,0,1,0,2,0,0,0,14,0,0,0,23,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,4,0,3,0,0,0,1,2,1,0,0,2,0,15,0,0,0,0,2,3,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,6,1,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,18,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,9,0,4,0,0,0,0,0,0,0,2,0,0,0,1,18,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,1,0,3,1,0,0,0,1,2,0,0,0,0,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,3,2,1,2
2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,6,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,1,1,0,0,0,1,0,0,1,0,4,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,7,2,17,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,26,0,0,0,0,0,0,0,2,0,1,0,18,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,9,1,0,0
3,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,2,0,0,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,7,2,0,0,0,9,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,22,0,9,1,1,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,98,5,0,0,2,3,0,0,2,0,3,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,2,0,1,8,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,4,6,2,0,37,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,0,3,0,0,0,3,1,0,4,1,0,0,40,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,1,2,0,0,2,13,0,0,0,0,0,3,1,0,1,42,0,0,14,10,0,0,0,25,0,18,0,0,4,0,0,0,0,0,3,1,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1
5,0,2,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,1,1,7,5,1,0,0,0,0,0,0,1,0,0,1,1,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,4,0,3,1,1,0,0,0,0,3,1,0,0,1,1,0,2,2,2,0,0,0,0,0,1,3,0,0,0,0,7,0,0,0,19,0,1,0,39,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0,0,2,0,8,0,0,1,0,0,0,0,2,1,0,26,0,5,1,0,1,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0,2,0,0,1,13,0,1,0,0,3,1,0,0,1,0,0,0,3,0,0,1,1,0,0,2,1,0,12,0,0,0,1,0,0,0,0,0,0,3,0,0,2,3,0,0,1,0,1,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,15,0,3,16,0,0,1,2,0,0,0,0,3,0,0,0,5,0,0,0,0,1,0,1,0,0,1,0,1,46,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,5,0,0,2
6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,6,0,8,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,1,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,2,2,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,1,0,0,0,1,0,0,0,2,0,9,1,0,0,0,0,0,0,0,0,1,4,17,1,0,1,1,0,2,10,0,0,0,1,0,0,0,0,1,0,0,0,4,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,3,2,5,0,2,1,0,0,0,0,0,1,0,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0
8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,7,0,1,0,0,1,0,2,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,1,2,0,6,0,0,0,0,1,1,0,0,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2,1,3,1,0,0,0,0,2,0,0,0,3,0,1,0,0,1,14,1,1,12,1,0,2
9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,6,0,1,0,0,47,0,0,1,0,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,0,0,2,3,1,0,0,0,0,0,0,0,4,4,0,0,0,27,7,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1,3,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,17,0,0,1,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,3,0,1,2,1,0,0,0,1,1,1,7,1,2,0,0,1,0,0,0,1,0,2,0,0,6,2,10,0,0,0,0,0,0,0,1,1,12,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0,1,1,0,0,1,1,0,11,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,5,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,30,0,4,3,3,8,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,49,0,0,0,0,0,0,1,1,0,1,4,0,0,0
